name,estimate
HOWARD CO.2010,39574
HUDSPETH CO.2010,22647
HUNT CO.2010,43101
HUTCHINSON CO.2010,42213
IRION CO.2010,48833
JACK CO.2010,46801
JACKSON CO.2010,47483
JASPER CO.2010,38062
JEFF DAVIS CO.2010,43750
JEFFERSON CO.2010,42293
JIM HOGG CO.2010,40000
JIM WELLS CO.2010,37020
JOHNSON CO.2010,54954
JONES CO.2010,39568
KARNES CO.2010,39611
KAUFMAN CO.2010,58555
KENDALL CO.2010,66655
KENEDY CO.2010,48333
KENT CO.2010,47750
KERR CO.2010,43072
KIMBLE CO.2010,43429
KING CO.2010,61563
KINNEY CO.2010,24388
KLEBERG CO.2010,36571
KNOX CO.2010,32055
LAMAR CO.2010,38015
LAMB CO.2010,35458
LAMPASAS CO.2010,46378
LA SALLE CO.2010,30144
LAVACA CO.2010,41429
LEE CO.2010,46986
LEON CO.2010,40355
LIBERTY CO.2010,45929
LIMESTONE CO.2010,42140
LIPSCOMB CO.2010,52566
LIVE OAK CO.2010,43719
LLANO CO.2010,41969
LOVING CO.2010,83889
LUBBOCK CO.2010,42562
LYNN CO.2010,43672
MCCULLOCH CO.2010,34459
MCLENNAN CO.2010,40672
MCMULLEN CO.2010,41453
MADISON CO.2010,37207
MARION CO.2010,29943
MARTIN CO.2010,38111
MASON CO.2010,38702
MATAGORDA CO.2010,43205
MAVERICK CO.2010,28813
MEDINA CO.2010,49138
MENARD CO.2010,40996
MIDLAND CO.2010,54945
MILAM CO.2010,39035
MILLS CO.2010,31895
MITCHELL CO.2010,37260
MONTAGUE CO.2010,42482
MONTGOMERY CO.2010,65620
MOORE CO.2010,44216
MORRIS CO.2010,38843
MOTLEY CO.2010,34081
NACOGDOCHES CO.2010,33189
NAVARRO CO.2010,41654
NEWTON CO.2010,37452
NOLAN CO.2010,37102
NUECES CO.2010,43280
OCHILTREE CO.2010,49309
OLDHAM CO.2010,51111
ORANGE CO.2010,47914
PALO PINTO CO.2010,41095
PANOLA CO.2010,45622
PARKER CO.2010,61340
PARMER CO.2010,39753
PECOS CO.2010,38125
POLK CO.2010,33325
POTTER CO.2010,36766
PRESIDIO CO.2010,29513
RAINS CO.2010,42491
RANDALL CO.2010,56041
REAGAN CO.2010,54224
REAL CO.2010,29186
RED RIVER CO.2010,37047
REEVES CO.2010,32593
REFUGIO CO.2010,42949
ROBERTS CO.2010,52500
ROBERTSON CO.2010,38393
ROCKWALL CO.2010,78032
RUNNELS CO.2010,37823
RUSK CO.2010,46574
SABINE CO.2010,33589
SAN AUGUSTINE CO.2010,25974
SAN JACINTO CO.2010,46285
SAN PATRICIO CO.2010,45189
SAN SABA CO.2010,36308
SCHLEICHER CO.2010,55186
SCURRY CO.2010,42401
SHACKELFORD CO.2010,46629
SHELBY CO.2010,32425
